"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 11, 2014","400.19","395.81","400.39","395.77","-","1.08%"
"Feb 10, 2014","395.90","394.82","395.90","394.82","-","0.26%"
"Feb 07, 2014","394.88","390.24","395.08","390.20","-","1.16%"
"Feb 06, 2014","390.36","385.37","390.36","385.35","-","1.31%"
"Feb 05, 2014","385.32","384.98","385.99","383.45","-","0.12%"
"Feb 04, 2014","384.84","385.43","385.45","382.57","-","-0.21%"
"Feb 03, 2014","385.66","391.91","391.91","385.30","-","-1.60%"
"Jan 31, 2014","391.92","393.84","394.11","389.51","-","-0.50%"
"Jan 30, 2014","393.89","393.08","394.28","390.80","-","0.21%"
"Jan 29, 2014","393.07","394.49","397.16","392.34","-","-0.40%"
"Jan 28, 2014","394.65","393.05","395.01","392.85","-","0.39%"
"Jan 27, 2014","393.13","396.90","396.99","392.16","-","-0.94%"
"Jan 24, 2014","396.87","404.70","404.74","396.85","-","-1.90%"
"Jan 23, 2014","404.54","407.22","407.24","403.78","-","-0.74%"
"Jan 22, 2014","407.56","406.90","407.68","406.78","-","0.18%"
"Jan 21, 2014","406.82","406.26","407.95","405.60","-","0.13%"
"Jan 20, 2014","406.30","406.17","406.36","405.72","-","-0.02%"
"Jan 17, 2014","406.40","407.08","407.57","405.77","-","-0.14%"
"Jan 16, 2014","406.95","407.24","407.61","406.23","-","-0.07%"
"Jan 15, 2014","407.24","404.91","407.47","404.91","-","0.48%"
"Jan 14, 2014","405.31","404.13","405.31","401.75","-","0.32%"
"Jan 13, 2014","404.01","405.96","406.80","403.83","-","-0.45%"
"Jan 10, 2014","405.83","403.77","405.99","403.45","-","0.55%"
"Jan 09, 2014","403.60","404.50","404.81","402.59","-","-0.31%"
"Jan 08, 2014","404.87","404.23","405.23","403.88","-","0.15%"
"Jan 07, 2014","404.25","402.96","404.65","402.27","-","0.35%"
"Jan 06, 2014","402.86","403.92","404.06","402.49","-","-0.34%"
"Jan 03, 2014","404.24","404.52","405.15","403.80","-","-0.08%"
"Jan 02, 2014","404.55","408.29","408.46","404.03","-","-0.98%"
"Jan 01, 2014","408.55","408.25","408.55","408.22","-","0.00%"
"Dec 31, 2013","408.55","407.26","408.55","407.24","-","0.27%"
"Dec 30, 2013","407.43","406.53","407.65","406.45","-","0.15%"
"Dec 27, 2013","406.81","404.78","407.23","404.78","-","0.47%"
"Dec 26, 2013","404.89","403.48","404.94","403.48","-","0.34%"
"Dec 25, 2013","403.52","403.41","403.58","403.29","-","0.00%"
"Dec 24, 2013","403.52","402.71","403.61","402.66","-","0.16%"
"Dec 23, 2013","402.89","400.38","403.03","400.37","-","0.63%"
"Dec 20, 2013","400.36","398.65","400.97","398.27","-","0.43%"
"Dec 19, 2013","398.64","396.85","398.92","396.80","-","0.23%"
"Dec 18, 2013","397.71","393.39","397.71","392.68","-","1.20%"
"Dec 17, 2013","393.01","394.14","394.76","392.80","-","-0.30%"
"Dec 16, 2013","394.20","391.99","395.02","391.43","-","0.59%"
"Dec 13, 2013","391.89","392.03","392.77","391.42","-","-0.07%"
"Dec 12, 2013","392.16","395.12","395.17","391.69","-","-0.75%"
"Dec 11, 2013","395.14","398.66","398.73","394.94","-","-0.89%"
"Dec 10, 2013","398.67","399.56","399.92","398.66","-","-0.19%"
"Dec 09, 2013","399.43","397.91","399.91","397.75","-","0.39%"
"Dec 06, 2013","397.87","394.90","398.06","394.12","-","0.80%"
"Dec 05, 2013","394.70","396.20","396.25","394.67","-","-0.30%"
"Dec 04, 2013","395.87","398.00","398.07","394.68","-","-0.55%"
"Dec 03, 2013","398.05","400.12","400.35","397.34","-","-0.56%"
"Dec 02, 2013","400.28","401.77","402.20","399.91","-","-0.44%"
"Nov 29, 2013","402.05","401.89","403.13","401.64","-","0.04%"
"Nov 28, 2013","401.88","400.76","402.05","400.75","-","0.26%"
"Nov 27, 2013","400.84","400.19","401.21","399.94","-","0.19%"
"Nov 26, 2013","400.06","400.90","401.14","399.72","-","-0.15%"
"Nov 25, 2013","400.68","400.79","401.52","400.65","-","0.05%"
"Nov 22, 2013","400.49","399.16","400.74","398.95","-","0.43%"
"Nov 21, 2013","398.78","397.86","399.01","396.51","-","0.11%"
"Nov 20, 2013","398.34","399.72","400.48","397.28","-","-0.33%"
"Nov 19, 2013","399.67","401.02","401.27","399.31","-","-0.36%"
"Nov 18, 2013","401.11","400.17","402.66","399.98","-","0.29%"
"Nov 15, 2013","399.96","397.50","400.19","397.33","-","0.62%"
"Nov 14, 2013","397.48","395.18","397.78","395.17","-","0.76%"
"Nov 13, 2013","394.48","394.13","394.94","391.62","-","0.04%"
"Nov 12, 2013","394.32","394.93","395.31","393.60","-","-0.14%"
"Nov 11, 2013","394.89","394.11","395.15","394.06","-","0.23%"
"Nov 08, 2013","393.98","393.36","394.29","390.91","-","0.27%"
"Nov 07, 2013","392.90","397.30","397.35","392.90","-","-1.13%"
"Nov 06, 2013","397.40","395.55","398.16","395.42","-","0.46%"
"Nov 05, 2013","395.58","397.04","397.38","394.12","-","-0.36%"
"Nov 04, 2013","397.00","395.83","397.20","395.37","-","0.32%"
"Nov 01, 2013","395.73","396.84","396.96","394.59","-","-0.35%"
"Oct 31, 2013","397.11","398.84","399.03","396.58","-","-0.59%"
"Oct 30, 2013","399.45","399.50","401.07","397.75","-","-0.07%"
"Oct 29, 2013","399.73","398.69","399.73","398.15","-","0.25%"
"Oct 28, 2013","398.73","397.97","399.28","397.97","-","0.20%"
"Oct 25, 2013","397.93","398.13","398.22","396.94","-","-0.04%"
"Oct 24, 2013","398.07","396.69","398.37","396.40","-","0.32%"
"Oct 23, 2013","396.80","399.36","399.86","395.93","-","-0.62%"
"Oct 22, 2013","399.29","396.68","400.14","396.38","-","0.64%"
"Oct 21, 2013","396.77","396.26","397.02","396.23","-","0.09%"
"Oct 18, 2013","396.40","393.44","396.40","393.43","-","0.73%"
"Oct 17, 2013","393.52","389.99","393.61","389.99","-","0.95%"
"Oct 16, 2013","389.82","387.34","390.11","386.67","-","0.71%"
"Oct 15, 2013","387.08","387.41","388.81","387.02","-","-0.18%"
"Oct 14, 2013","387.78","386.66","387.78","385.37","-","0.30%"
"Oct 11, 2013","386.61","383.77","386.63","383.77","-","0.76%"
"Oct 10, 2013","383.71","377.59","383.86","377.26","-","1.62%"
"Oct 09, 2013","377.59","378.32","378.40","376.18","-","-0.23%"
"Oct 08, 2013","378.47","381.33","381.46","378.15","-","-0.72%"
"Oct 07, 2013","381.21","383.59","383.66","380.44","-","-0.67%"
"Oct 04, 2013","383.79","382.72","383.79","381.97","-","0.30%"
"Oct 03, 2013","382.64","384.07","384.90","381.85","-","-0.39%"
"Oct 02, 2013","384.13","384.60","384.74","382.18","-","-0.13%"
"Oct 01, 2013","384.62","381.85","384.79","381.81","-","0.67%"
"Sep 30, 2013","382.07","385.01","385.08","381.04","-","-0.78%"
"Sep 27, 2013","385.09","385.72","386.20","384.35","-","-0.13%"
"Sep 26, 2013","385.61","385.13","386.80","384.62","-","0.12%"
"Sep 25, 2013","385.15","385.51","386.38","384.70","-","-0.14%"
"Sep 24, 2013","385.68","386.42","386.82","384.88","-","-0.19%"
"Sep 23, 2013","386.43","387.77","387.94","385.68","-","-0.27%"
"Sep 20, 2013","387.48","389.99","390.15","387.48","-","-0.66%"
"Sep 19, 2013","390.06","388.61","391.54","388.61","-","0.90%"
"Sep 18, 2013","386.58","383.60","389.05","383.38","-","0.80%"
"Sep 17, 2013","383.50","382.97","383.65","382.35","-","0.05%"
"Sep 16, 2013","383.31","380.72","384.40","380.72","-","0.91%"
"Sep 13, 2013","379.85","379.55","380.25","378.76","-","0.01%"
"Sep 12, 2013","379.83","380.81","380.86","379.46","-","-0.18%"
